ReviewID,UserID,ProductID,Rating,ReviewText,ReviewDate
1,0,六色眼影盤,5,?色號： 柔粉?效果： 顯色、自然、好上手、服貼、粉嫩、好搭配、好推勻、不暈染、不積線、妝感佳、好上色、好上妝?體驗方式： 正品容量/試用 / 非自行購入?使用季節： 春、夏、秋、冬?使用環境： 換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房這是我朋友用不到送我的眼影盤我過去有買過他們家9色的眼頰盤覺得蠻好用再加上這個6餘額系列的眼影盤在網路上聲量很高蠻期待的它的效果產品主打四種不同質地同時擁有heme這次推出的六色眼影盤中，每一盤都同時擁有四種不同的質地。絲絨霧面（Velvet Matte）：鮮艷色澤，無珠光霧面質地。細緻珠光（Shimmer）:若隱若現透出的細致光澤。金屬偏光(Metal) :角度不同呈現出細緻到炫麗金屬光澤。閃耀亮片(Glitter):閃亮的亮片光澤感。我這盤眼影色號為柔粉由3個霧面色、2個珠光色、1個打亮色組成整體配色很柔和日常很適合新手入門好搭配粉質還不錯 不算特別細膩 但也不會太粗糙很暈染不結塊延展性也不錯顏色飽和度跟日系眼影差不多不會太淡也不會太濃顏色飽和度比同品牌9色眼頰盤再低一點上眼溫和不刺激這是我用這盤眼影畫出的效果它的發色效果很不錯??妝感很顯溫柔氣質妝感可濃可淡但它也有比較大的缺點是它很容易飛粉常常帶妝一整天後粉掉的全臉都是但是眼妝還是完整的其中我特別喜歡它的打亮色不管是撲在上眼皮還是拿來畫臥蠶都非常漂亮Heme家眼影的打亮色都做得很細膩好看不會有廉價感這盤眼影算是性價比蠻高的很適合小資族或學生入手,2024.04.25 發表
2,0,六色眼影盤,6,?色號： 雪莓Strawberry Sorbet、青杉、蜜栗?效果： 好上手、飽和、霧面、亮片?體驗方式： [重複使用]正品容量/藥妝店?使用季節： 春、夏、秋、冬?使用環境： 悶熱、溫度舒適、氣候潮濕手上已經有七盤Heme的眼影盤了，比較前期出的褐茶、紫櫻粉粉質真的蠻粗的，尤其是褐茶的亮片超級大，很像文具店的亮片（？），但這兩盤顏色都很漂亮！尤其是紫櫻放大眼睛的效果很不錯。後來出的幾盤粉質很明顯有提升！蜜栗隨便畫都好看，霧棕這盤蠻適合橄欖肌，畫起來有種高級感。青杉如果不用藍色那格其實蠻日常好看的，不過這幾盤的大亮片那格真的很容易摔碎……最近購入雪莓這盤本來覺得粉質蠻不錯應該畫起來很好看，結果膚色偏黃真的超不適合啊！不知為啥畫起來有種泡泡的感覺……總之，這系列算是滿好上手的眼影盤，除了亮片比較大和選色要注意以外其實滿方便的。推薦色號：霧棕、蜜栗、紫櫻,2024.05.30 更新
3,0,特調腮紅,5,?色號： 06 Rosy Tan、05 Light Lilac、04 Dawn Rose、03 Veiled Lotus、02 Tender Apricot、01 Ripe Fig?效果： 自然、服貼、好推勻、延展度佳、妝感佳、細緻、不結塊?體驗方式： 正品容量/藥妝店?使用季節： 秋、冬?使用環境： 氣候乾燥全系列6色光外觀看幾乎都是我的菜??很喜歡這種彩度不高的柔霧感曖昧色全部試了一輪喜歡到讓我帶回家的是#2 tender apricot 和#6 Rosy Tan???我是一般膚色（OC20）無濾鏡試色給大家參考粉質細膩絲滑，能完美貼合肌膚 沒有明顯邊際感隨便刷隨便美????但粉細的同時也滿飛粉的，壓得比較鬆散 個人覺得用點彩刷上會更好看～#1 Ripe Fig是我看官網試色圖時最想帶的，一直很想收一顆無花果色??但實際試用 覺得在我的膚色上顯得髒髒的沒有特別好看QQ應該是和我皮膚的色調不搭??可惜了這顆是6顆裡最顯色的，粉質偏乾（同時試了6色#1明顯偏乾一些，但都還是摸起來很棒#2 Tender Apricot柔軟蓬鬆的杏桃色，日常百搭好看，沒那麼顯色但這就是我要的效果哈哈哈沒有明顯妝感但顯得氣色好?#3 Veiled Lotus有亮片細閃，質地比#1 Ripe Fig更乾和我差不多膚色的水水應該是可以跳過，會上了個寂寞??除非專門買來疊加其他頰彩但個人怕他顯毛孔，默默的放回架上(  ¯?¯ )Zz……#5 Light lilac單純對粉嫩色腮紅沒興趣，試過就忘了哈哈哈最後～我收的是#2 和#6，真的好好看  超級喜歡！很久沒買頰彩了所以很興奮哈哈哈哈?????????本來#2Tender Apricot 和#4Dawn Rose在猶豫，2色太像了XD但手放下來時發現意外的差很多，4明顯深很多，有點偏收縮色了（？）我比較想要有點膨潤感，於是帶了2??簡單評比給水水們參考??,2024.01.13 更新
4,0,六色眼影盤,6,?色號： 焦橙Burnt Orange?效果： 自然、持久、好上手、光澤、亮片、妝感佳、好上妝?體驗方式： 正品容量/試用 / 非自行購入?使用季節： 春、夏、秋、冬?使用環境： 換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房這是某年還是一個菜菜大學生時 Joting送ㄉ眼影盤不知不覺也把它用到出現鐵片了??今天來跟大家分享一下～～～～分享的色號是焦橙??這盤我真的用了很久都用不完～總共有6個顏色其中有2個珠光色 1個亮片色 顏色紅中偏橘??粉質上中規中矩 細緻度以開架來說算不錯只是會稍微小飛粉 定妝要做好～～～～不過持妝度還不錯 一整天在外面跑來跑去妝都還蠻完整ㄉ????實妝照因為我自己是內雙 正常方向看大部分的妝都會跑進去眼皮裡????正常視角 都跑進去眼皮裡面了哈哈哈哈我的膚色偏黃 不太適合用粉或橘 自己用起來蠻顯黑又沒精神我自己的化妝是想要讓氣色變好 所以比較著重在讓自己變亮、有精神一些～這就要稱讚一下Heme 他們的眼影品質雖然就中規中矩 普普通通但眼影盤的配色不得不說搭配的蠻好的可以一盤少少的顏色就找到所有你需要ㄉ顏色??另一個優點就是攜帶方便 平時上班上課 出差出遊放在包包不會佔空間 重量也很輕刷子也很貼心給了兩個！（雖然另一個使用率很低，還被我用不見??最後就是他真的用很久用不完 cp值超高 我都不知道到底是不是優點了??想再買其他的又覺得這個還可以用很久～～～～回購率80%（-20%就是因為可以用很久??????推薦給有需要ㄉ人～謝謝看到這裡的尼????????,2024.05.13 更新
5,0,特調腮紅,2,?色號： 03 Veiled Lotus?效果： 自然?體驗方式： 正品容量/其他?使用季節： 秋?使用環境： 溫度舒適今年開始對裸色調很感興趣，第一塊感興趣的就是這塊heme特調腮紅03號veiled lotus是系列中唯一有亮片的腮紅，但顏色清淡如白開水。第一次看到試色照就瘋狂再找其他試色照來比對，每次去屈臣氏都一定要摸一下才甘願(最後還是沒買)，就這樣看了超過半年遲遲沒入手，其實主要原因是不愛它的珠光，期間還找到了很類似的顏色是cezanne 19號柔亮腮紅(珠光更多哈哈哈哈)最後意外在youtuber查理辦的二手拍看到還只賣50元！！帶回家使用過一兩次之後卻想把它淘汰了，裸色腮紅我更推cezanne那塊！實在是沒有摸過那麼飛粉的腮紅...(在屈臣氏試色的時候都沒意識到這是個大問題)粉壓得非常鬆，粉也不算細，但我就是看上它的顏色T_T若有似無的顏色真的很讚～～～我想皮膚越白的人越適合。但找到更喜歡的裸色腮紅之後對heme實在是毫無懸念直接捨棄掉還好只花了50元這是我第一個heme產品，台灣開架的話我會比較推薦solone或1028,2023.11.18 發表
6,0,清透水感防曬凝膠 SPF50★★★★,6,"?效果： 好推勻、清爽、防曬、不黏膩、不油膩、不泛白、不悶、好吸收、服貼、低刺激、不易過敏、無香味、不厚重?體驗方式： [重複使用]正品容量/藥妝店?使用季節： 夏、秋?使用環境： 悶熱今天要來介紹  heme 清透水感防曬凝膠 SPF50★★★★，一個經營多年的台灣知名品牌，我高中的時候heme超流行，人手一瓶heme蘋果乳液之類的產品，好像洩漏出我的年紀了==""我對heme一直都很有好感，也都有在買heme的彩妝，平價品質不錯，很適合小資女孩~我對防曬需求量很高，每天都要擦防曬，日常上班我只擦臉部和脖子，我對防曬的要求一定要不黏膩、不悶、清爽，有一點潤色更好heme 清透水感防曬凝膠 SPF50★★★★這一款是白色乳狀，塗開非常的水感，清爽，好吸收，不黏膩不悶，即便後塗補第2層，還是很好吸收不黏膩我想大家應該有聽說防曬不能塗太少吧，使用的量太少防曬是沒有效的，通常防曬乳液，全臉大約需要10元硬幣大小的用量，所以通常我會補到2層防曬乳，用量不會省喔~這就是我喜歡這款防曬的原因，後面再怎推疊都不會很厚重或黏膩，他沒有甚麼潤色效果，吸收很清爽，無香味因為防曬用量需求很大，防曬用量不能省阿，他的價位非常的平價，所以用量大都不會心疼我通常是日常上班使用，我已經用掉3瓶左右了，後續上妝也沒有什麼會和彩妝打架的問題，也沒有皮膚刺激的感受，我個人覺得CP值很高，很推薦~",2023.08.31 發表
7,0,無瑕持久遮瑕蜜,7,?色號： 22 Honey Peach?效果： 好推勻、用量省、修飾眼周暗沉、自然、服貼、持久、無負擔、霧面、好上手?體驗方式： 正品容量/藥妝店?使用季節： 春、夏、秋、冬?使用環境： 換季、悶熱、寒冷、溫差大、冷氣房heme 無瑕持久遮瑕蜜容量：6ml定價：NT$ 300藥妝店入手價$299色號：Honey peachheme這款遮瑕液是近期用過開架彩妝遮瑕液裡面很滿意的一款????色號Honey peach主要都是遮黑眼圈因為本身有鼻子過敏+長期熬夜關係黑眼圈很深需要先校色在遮瑕刷頭斜切部分很貼臉但我習慣先上在手背上調整用量才上臉因為只有遮黑眼圈關係用量不用多加上這款延展性很好Honey peach顏色很橘適合黑眼圈校色我會先用Honey peach校色然後疊擦其他比較白的遮瑕產品最近是搭配1028使用剛好兩款都非常扒臉跟防水都不容易位移在水龍頭底下沖水都不擔心暈開1028遮瑕也是只是heme有一個小缺點就是容易油水分離大概開封一個月左右就會這樣不過不影響使用搖一搖就正常????上圖只用heme校色??黑眼圈太深一定要在疊擦遮瑕顏色這款遮眼下的優點就是不太顯紋路！而且可以重複疊擦????撇除油水分離這一點我覺得非常好用????完全有專櫃等級希望能再出其他色號有比較多選擇??,2023.08.03 更新
8,0,清透水感防曬凝膠 SPF50★★★★,6,?效果： 清爽、防曬、不悶?體驗方式： 正品容量/品牌官方購物網站?使用季節： 夏?使用環境： 悶熱、氣候潮濕官網介紹，防曬不僅僅為了美白，同時能預防肌膚加速老化，無論室內或戶外，紫外線無所不在，heme全新「清透水感防曬凝膠」升級上市，有別於傳統的防曬質地，特別採用特殊包覆型防曬劑，搭配SPF50★★★★的最高防曬係數，有效抵禦UVA/UVB，長效對抗紫外線，搭配清爽凝膠質地，塗抹瞬間水化，感受前所未有的水感清透。內含肌膚多重養護成分，添加傳明酸、玻尿酸、魚腥草及小黃瓜萃取，防曬同時達成肌膚護理，內無添加酒精、香精及色素，溫和不易刺激，全膚質皆可安心使用。其實真實容量是手指比的地方，瓶身設計比較大使用感受，容量30ml，白色，鬆鬆軟綿綿、浮浮的、流動性很高的乳霜質地，本來擔心不好吸收，但沒想到不但很好推勻，而且非常快就吸收、融進肌膚膚色之中了，沒有什麼潤色效果，就一般的防曬效果。強調內無添加酒精、香精及色素，溫和不易刺激，全膚質皆可安心使用，的確沒有添加什麼香味，是清新無味的防曬產品，防曬係數也很高，SPF50★★★★，但是完全不粘膩，很驚訝，印象深刻。每次使用我習慣搖一下，再擠出來，一開始會覺得可能空氣太多，畢竟瓶身做的比較大，變成用噴的噴出來????，但用幾次就好多了，然後用很多也不怕不好推勻、吸收。後續我會習慣再搭配粉底產品，看起來氣色會比較好，我自己膚色偏暗沉，多少都會搭配粉底產品，大家也可以視需要，使用自己習慣的粉底，夏天應該也會非常適合，價格划算，會繼續購入??。,2023.06.08 發表
9,0,絲霧柔光粉餅 SPF20,3,?色號： 02Beige?效果： 保濕、妝感自然、薄透、自然?體驗方式： 正品容量/藥妝店?使用季節： 秋?使用環境： 換季、溫差大絨布收納套很好摸，不會容易沾灰塵、毛屑官網介紹，訂製獨特礦物粉體，打造細膩絲絨妝感礦物粉體細緻輕盈，鋪上後勻亮膚色，針對瑕疵泛紅等問題可局部疊加，此次特別針對遮瑕力與持妝力改版升級，上妝後呈現柔霧光感，出油肌膚自然轉換為霧光奶油肌，精選米白色調二色，不論明亮肌或自然肌都能輕鬆挑選，薄擦展現輕透裸肌，層疊創造細緻絲絨好膚質。防曬－防曬係數SPF20 ★★，上妝同時也能兼具防曬，避免紫外線造成肌膚傷害。潤飾－獨特礦物粉體有效均勻膚色、修飾痘疤及泛紅等瑕疵問題。控油－精選控油配方能延緩出油及霧化毛孔，打造細緻絲絨感的完美妝容。限定柔嫩粉色粉盒，內附特柔粉撲、方鏡及訂製粉嫩絨布袋，質感輕巧補妝攜帶方便。搭配使用：heme 清透水感防曬凝膠 SPF50★★★★—》heme 絲霧柔光粉餅 SPF20#02Beigeheme 清透水感防曬凝膠 SPF50★★★★，這款我很喜歡，清爽不粘膩推薦！heme 絲霧柔光粉餅 SPF20#02Beige使用感受，7g，特價購入的產品，純粹是因為沒用過才購買試試，色號是02#Beige，另外還有一個色號是01#Ivory。粉質細，薄透，無負擔自然妝感，但是要多次擦才比較感覺有擦到，可能是因為太無存在感了。設計是甜美粉，還有絨毛套，自帶鏡子、粉撲，整套使用下來一致且精美。粉底色號我通常都是購買02#Beige，但這款是偏暗，擦上臉感覺低了一個色階???，建議自然偏白肌膚的朋友，可以直接購買另一個色號#01Ivory，會比較合適吧。價格很划算，當作對新產品的嘗試也不錯?但色號感覺設計的不好。比起粉餅，我個人更喜歡防曬係數高但是清爽不粘膩的防曬凝膠！！勉強用完，還是很難取粉，就敲出來，在另一個盒子上用刷具刷在脖子上，因為色號真的黑，不想用在臉上了,2023.08.07 更新
10,0,保濕水感防曬凝乳 SPF50★★★★,6,?效果： 保濕、清爽、防曬、無負擔、好吸收、不殘留、延展度佳、不含酒精、不掉屑?體驗方式： [重複使用]正品容量/藥妝店?使用季節： 夏?使用環境： 氣候乾燥「heme 保濕水感防曬凝乳」開箱??—————————近期超火的美妝話題??本來要買她們家的蜜粉一直買不到欸? ?? ? ?? ?但被我發現其他也很不錯的產品那就是全新推出的「保濕水感防曬凝乳」???推出兩款 分別是 ：凝乳 & 凝膠成分與效果差不多一樣都是抗UV的。最後我質地決定挑選 「凝乳」款?外型包裝白色簡約風??小小一條外出攜帶方便。?質地方面：這款水潤保濕度飆高高++（在專櫃測試的時候就有驚艷到????）因為它相較一般防曬乳液比起來完全不油非常清爽～重點 #無添加 #無香精所以就很安心的塗在臉上?在臉上幾乎感受不到它的存在 (會想說咦 我有擦嗎一下子秒吸收了！也沒有刺激泛紅起癢的感覺??我敏感肌人平常會負擔的防曬產品都用在手跟腳而已這款我擦起來很沒問題???成份方面：內含肌膚多重養護成分添加巴巴蘇油、玻尿酸、生川蓮萃取等擁有多重的保濕舒緩??#敏感肌 寶寶使用OK ?? ????? )我最後選擇凝乳也是覺得它竟然更輕盈更服貼耶！??兩款都有搭配SPF50****的最高防曬係數有效抵禦UVA/UVB長效對抗紫外線??? 每次使用的擠量也無須太多平常上妝前我就是當作妝前乳上一層即可根本專為抵抗台灣悶熱氣候打造的好物！推~我是剛好在日藥本舖發現買一送一的活動??直接放進購物籃 (架上也剛好只剩兩個)想找防曬的可以去試用看看！??,2023.04.30 發表
