Brand,Name,Category,Size and Price,Description,ImageURL
1028,1028小清睫 睫毛膏卸除液,眼唇卸妝,8g / NT$ 300,--,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_160x160.png
1028,ARTISAN 暈染眼影刷 E12,刷具,/ NT$ 210,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/106661/1/_160x160_106661_20220816030835SYSbJtOIxr.JPG
1028,ARTISAN 極淨睫毛梳 T11,刷具,/ NT$ 200,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/106664/1/_160x160_106664_20220816031127OhJYavmejR.JPG
1028,ARTISAN 輕柔蜜粉刷 F11,刷具,/ NT$ 450,換季、悶熱,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/106657/1/_160x160_106657_20220816030336yXYJjAVBlc.JPG
1028,ASAP零油感甜橙卸妝油,卸妝油,150ml / NT$ 299,寒冷、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/80523/1/_160x160_80523.jpg
1028,CharmME!限量嫩頰彩,腮紅,5.5g / NT$ 280,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/114484/1/_160x160_114484_20230928005616TNlMsAnTrT.jpg
1028,Click翻糖氣墊唇頰筆,多功能彩妝,4.2g / NT$ 380,換季、溫度舒適、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/79186/1/_160x160_79186.jpg
1028,Dew Block! 超保濕定妝噴霧,其它定妝,30/60ml / NT$ 220/350,換季、悶熱、溫度舒適、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/110799/1/_160x160_110799_20230411040726gWXVzsexOh.jpg
1028,Dew Block! 超保濕維他命C定妝噴霧,其它定妝,30/60ml / NT$ 220/350,悶熱、溫度舒適、氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/117363/1/_160x160_117363_20240328000910TOZpFWdkJw.jpg
1028,Dew Block! 超保濕蜜粉餅,蜜粉餅,5g / NT$ 220,溫度舒適、氣候乾燥,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/110798/2/_160x160_30540.jpg
1028,Dew Block! 超保濕藜麥潔顏乳,洗面乳,100g / NT$ 149,悶熱,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/110942/1/_160x160_110942_20230410153501xFvyRGmYbt.jpg
1028,Hold it！油不來了定妝噴霧,其它定妝,100ml / NT$ 390,換季、悶熱、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/90808/1/_160x160_90808.jpg
1028,Hold it！咻咻遮瑕筆,遮瑕筆,8g / NT$ 320,換季,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/90805/1/_160x160_90805.jpg
1028,Hold it！超吸油蜜粉餅,蜜粉餅,5g / NT$ 219,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/90807/1/_160x160_90807.jpg
1028,Hold it！顏不油終超持輕密粉底,粉底液,30ml / NT$ 480,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/90806/1/_160x160_90806.jpg
1028,Oil Block! 超吸油嫩蜜粉(升級版),蜜粉,8g / NT$ 290,換季、悶熱、溫度舒適、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/110797/2/_160x160_30537.jpg
1028,Oil Block! 超吸油蜜粉餅(升級版),蜜粉餅,5g / NT$ 220,換季、悶熱、溫度舒適、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/110796/2/_160x160_30533.jpg
1028,Oil Block! 超控油UV校色飾底乳EX SPF50+★(嫩紫),隔離霜,25ml / NT$ 350,換季、溫度舒適,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/117365/1/_160x160_117365_20240328001759KmSVmiEBTi.jpg
1028,Oil Block! 超控油定妝噴霧,其它定妝,60ml / NT$ 350,換季、悶熱、氣候潮濕,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/112896/1/_160x160_112896_20230630023600pmoKCySfsx.jpg
1028,Oil Block!超吸油嫩蜜粉,蜜粉,8g / NT$ 290,換季,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/102210/1/_160x160_102210_20210727155634KvHqneNTYH.jpg
1028,Oil Block!超吸油蜜粉餅,蜜粉餅,5g / NT$ 199,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/102209/1/_160x160_102209_20210727155328xSPgdaWecN.jpg
1028,Oil Control!超控油UV校色飾底乳SPF50+★(綠色),隔離霜,25ml / NT$ 350,悶熱、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/95081/1/_160x160_95081_20200219093731PjgqcJeLqj.jpg
1028,Oil Cut!超吸油嫩蜜粉,蜜粉,8g / NT$ 290,換季、悶熱、溫度舒適、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/95871/1/_160x160_95871_20200410042349YkLZVgeTNP.jpg
1028,Oil Cut!超吸油蜜粉餅,蜜粉餅,5g / NT$ 189,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/95870/1/_160x160_95870_20200410042206dxfmbalgRv.jpg
1028,pH7.5深層清潔眼唇卸妝液,眼唇卸妝,90ml / NT$ 199,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/87519/1/_160x160_87519.jpg
1028,pH7.5深層清潔眼唇卸妝液EX版,眼唇卸妝,90ml / NT$ 199,換季、悶熱、寒冷、氣候潮濕、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/92218/1/_160x160_92218.jpg
1028,PRO FIX 修片狂零瑕疵超時粉餅,粉餅,9g / NT$ 450,悶熱、溫差大,https://dg9ugnb21lig7.cloudfront.net/uploads/images/product_default_160x160.png
1028,PRO FIX 修片狂輕柔焦超時蜜粉,蜜粉,13g / NT$ 450,換季、悶熱、寒冷、溫度舒適,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/117308/1/_160x160_117308_20240322175003JCcnQVPeYf.jpg
1028,一秒瞬白素顏霜,乳霜,30g / NT$ 580,悶熱、溫度舒適、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/89614/1/_160x160_89614.jpg
1028,久耀閃閃打亮盤,修容餅,8g / NT$ 350,悶熱、寒冷、溫度舒適、氣候潮濕、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/90927/1/_160x160_90927.jpg
1028,山茶花精萃護唇膏,護唇膏,2.5g / NT$ 149,悶熱,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/103539/1/_160x160_103539_20211117030828KledKPaHBq.jpeg
1028,??深邃小眼影刷,刷具,/ NT$ 150,寒冷、氣候潮濕,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/89754/1/_160x160_89754.jpg
1028,天生完美眉膠粉,多功能彩妝,1.5g / NT$ 320,悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/81383/1/_160x160_81383.jpg
1028,天生完美鏡光唇釉,唇釉,2.7g / NT$ 380,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/81384/1/_160x160_81384.jpg
1028,太妃糖眼妝盒,眼影盤,2.1g*6 / NT$ 499,換季、悶熱、寒冷、溫度舒適、氣候乾燥、氣候潮濕、溫差大、冷氣房,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/52873/1/_160x160_52873_w_250xh_250xfar_C.jpg
1028,日夜奇蹟睫毛修復精華,睫毛液,4g*2 / NT$ 360,--,https://dg9ugnb21lig7.cloudfront.net/uploads/product_image/34914/1/_160x160_34914_w_250xh_250xfar_C.jpg
