review_content,simplified_review
因為出門沒帶到補妝的粉餅所以進去屈臣氏買了一個蜜粉餅來臨時補妝買了1028超保濕蜜粉餅在鼻子脫妝的地方開始補妝補妝之前有先用衛生紙拍一拍吸油沒想到超可怕直接嚇到我了整個白芝麻都浮出來！因為太多白芝麻了之後想說那在拿出濕巾將原本的底妝先推掉然後再重新打上蜜粉餅結果完全補補回來????好難過喔隨手買一個蜜粉餅怎麼這樣但我發現他單刷在手部是很漂亮的珠光柔膚色一開始以為柔膚色應該就是最自然的膚色了沒想到對我來說還是偏白??我真的不知道他問題出在哪隔天早上想說再給他一次機會先上了素顏霜再上1028蜜粉餅妝感是真的很珠光柔膚但真的對我來說好白持妝效果也沒到很好我搭個捷運到公司大概一小時左右全程有帶著口罩但到公司後鼻子的部分已經脫妝??在這過程中臉部有微出汗突然額頭跟臉部都有點癢癢的我只能說這顆蜜粉餅跟我不搭??下次再買超控油款來來試試看,粉餅所以進去屈臣氏買了一個蜜粉餅來臨時補妝買了1028超保濕蜜粉餅在鼻子脫妝的地方開始補妝補妝之前有先用衛生紙拍一拍吸油沒想到超可怕直接嚇到我了整個白芝麻都浮出來！因為太多白芝麻了之後想說那在拿出濕巾將原本的底妝先推掉然後再重新打上蜜粉餅結果完全補補回來好難過喔隨手買一個蜜粉餅怎麼這樣但我發現他單刷在手部是很漂亮的珠光柔膚色一開始以為柔膚色應該就是最自然的膚色了沒想到對我來說還是偏白我真的不知道他問題出在哪隔天早上想說再給他一次機會先上了素顏霜再上1028蜜粉餅妝感是真的很珠光柔膚但真的對我來說好白持妝效果也沒到很好我搭個捷運到公司大概一小時左右全程有帶著口罩但到公司後鼻子的部分已經脫妝在這過程中臉部有微出汗突然額頭跟臉部都有點癢癢的我只能說這顆蜜粉餅跟我不搭下次再買超控油款來來試試看
女兒說她幫我挑了一款蜜粉餅，我問她為什麼選這一個呢？????：因為它是粉紅色的外殼唷，很漂亮吧??????????（功能不重要，顏色是首選）首先商品小巧又可愛餒，一看就知道很適合放進包包裡，而且還可以隨時隨地的補妝粉撲厚度很可以，使用起來非常舒服，像我肥肥手指拿取也很方便??粉紅外殼這一款適合??：混合肌、油性肌、混合偏油肌，主打肌膚遮瑕的部分。遮瑕效果我覺得非常不錯，服貼於肌膚，不會產生厚重的妝感??如果以開架美妝來說，這一款真是有夠給它平價的，而且顏色也很少女心????????可以選擇適合自己肌膚的顏色，然後給它敗下去????商品價格成效、使用感覺因人而異，還是要選擇適合自己肌膚的商品唷??,外殼唷，使用起來非常舒服，像我肥肥手指拿取也很方便粉紅外殼這一款適合：混合肌、油性肌、混合偏油肌，主打肌膚遮瑕的部分。
因為常逛寶雅，成為金卡會員優惠也不少，常常會有產品特價的活動，像今天分享的蜜粉就是手機App的優惠券兌換的，「1028。Dew Block! 超保濕蜜粉餅」還有粉紅色（柔嫩）和白色（透明），這罐紫色的是提亮。換購只要159元，即使手邊蜜粉都還沒用完，夠便宜可以買來試試。以前就用過好多塊1028的蜜粉餅，雖然小小一塊，但也是便宜，CP值高，學生時期愛用，一點都不心疼。這次其實也沒多想那麼多，就抓了一塊來用，但我居然沒有注意，以為這塊是吸油的，殊不知1028又出另一個保濕系列的蜜粉餅，也就是我這次買的??????小小的一塊，有附鏡子，補妝很方便。一開始在使用時一直以為就是吸油款的，所以我就用一貫的手法按壓，結果居然一塊一塊，白白的印在臉上，超級白的~結果就決定捨棄了~~很巧妙地剛好看到網站上也有人說會很顯白，不過她是指吸油的那款，我才驚覺我好像不是買吸油的，是保濕款的，天大的誤會 ~~ 原來我一直錯怪1028這支了，於是我又重新拿出來用，這次按壓力道比較輕，撲在比較乾燥的兩頰及額頭，用完給它掌聲??????粉質細緻之外，也有柔焦毛孔的優點，另外不會乾澀。因為這塊粉撲是真的很小，加上我出門前會使用，所以我的用法就是用刷子沾取，大面積刷在臉頰~~這樣更方便，而且提亮效果不錯，看起來有精神，最近季節變化大 加上工作比較累，臉上暗沉無光，就靠它來維持出門的樣態了??????應該會使用的很迅速。有機會再買另外兩款，像1028這樣台灣品牌MIT真的越做越好，需要多給一點支持才對～～??謝謝您的耐心觀看，喜歡的話多給我鼓勵關注吧??,因為常逛寶雅，成為金卡會員優惠也不少，常常會有產品特價的活動，像今天分享的蜜粉就是手機App的優惠券兌換的，「1028。Dew Block! 超保濕蜜粉餅」還有粉紅色（柔嫩）和白色（透明），這罐紫色的是提亮。換購只要159元，即使手邊蜜粉都還沒用完，夠便宜可以買來試試。以前就用過好多塊1028的蜜粉餅，雖然小小一塊，但也是便宜，CP值高，學生時期愛用，一點都不心疼。這次其實也沒多想那麼多，就抓了一塊來用，但我居然沒有注意，以為這塊是吸油的，殊不知1028又出另一個保濕系列的蜜粉餅，也就是我這次買的??????小小的一塊，有附鏡子，補妝很方便。一開始在使用時一直以為就是吸油款的，所以我就用一貫的手法按壓，結果居然一塊一塊，白白的印在臉上，超級白的~結果就決定捨棄了~~很巧妙地剛好看到網站上也有人說會很顯白，不過她是指吸油的那款，我才驚覺我好像不是買吸油的，是保濕款的，天大的誤會 ~~ 原來我一直錯怪1028這支了，於是我又重新拿出來用，這次按壓力道比較輕，撲在比較乾燥的兩頰及額頭，用完給它掌聲??????粉質細緻之外，也有柔焦毛孔的優點，另外不會乾澀。因為這塊粉撲是真的很小，加上我出門前會使用，所以我的用法就是用刷子沾取，大面積刷在臉頰~~這樣更方便，而且提亮效果不錯，看起來有精神，最近季節變化大 加上工作比較累，臉上暗沉無光，就靠它來維持出門的樣態了??????應該會使用的很迅速。有機會再買另外兩款，像1028這樣台灣品牌MIT真的越做越好，需要多給一點支持才對～～??謝謝您的耐心觀看，喜歡的話多給我鼓勵關注吧??
寶雅購入挺久以前的產品了，現在已經推出新版本。以前常會有各種外型，一陣子會換，買的版本造型如下。膚色，粉撲很薄，完全不耐洗，洗了幾次就變成這副斑駁的模樣。印象最深刻的一件事，就是它粉很鬆，感覺沒用幾次就見鐵片，再用幾次就要沒有了。用的異常的快。理論上來說，4.6克可以用好一陣子的，但沒用多少次粉餅就掰掰了，是我用的最快的一次。撇開用的快這點，小小的粉餅攜帶很方便，帶出門不占空間，但是粉撲不太好用就是了，並且盒子又小又圓又深，不太好取粉，尤其試用到後期快用完的時候，更難取粉。普通大小的粉餅盛邊角本就難取粉，何況這個又小又深。吸油力還不錯，可以吸附臉上油光，妝感輕薄不厚重，但不遮瑕，若沒有另外使用遮瑕的底妝或產品，單靠蜜粉餅無法修是瑕疵，但對毛孔有些微修飾柔焦的效果，不遮瑕但些微提亮膚色。不太滿意的點大概就是他的粉撲不太好用、難以取粉用的快，但是對於他的吸油力、小巧的外觀，方便攜帶這些都覺得還不錯，會想買新的版本及蜜粉來試試。以下為使用前後以下為粉底+蜜粉定妝後,產品了，效果，不遮瑕但些微提亮膚色。，使用遮瑕的底妝或產品，單靠蜜粉餅無法修是瑕疵，但對毛孔有些微修飾柔焦的效果，不遮瑕但些微提亮膚色。
補充：這款粉餅只有6g，但產品說明寫9g希望@cosme盡快更改前幾天在康是美看到摸試用品的時候覺得粉質細膩而且又有服貼輕薄的感覺重點是我先買了蜜粉覺得不錯用所以才買這款粉餅但我不知道是不是我買的有問題雖然在摸試用品的時候我就知道他是帶有珠光感的粉餅但在架上的時候覺真的覺得不錯我這幾天還在逛不同的藥妝店時反覆摸過反正我只能說我踩雷了啦我覺得他很像以前出的一塊保濕粉餅也是有珠光的感覺，但那塊珠光很大這款新粉餅，我覺得根本打亮餅裝粉餅我照往常在同款蜜粉後上這款粉餅上臉頰的時候我已經覺得不妙了在上額頭的時候，我就知道毀了我整張臉的細紋完。全。炸。裂。。。說自己霧面的粉餅顏色偏鵝黃手部試色有光澤感，但顯紋理在紋路多的地方，也顯紋理自此額頭細紋叢生，單上蜜粉完全沒有這些東西的臉頰珠光不能均勻分布整個毛孔、細紋都被凸顯，妝容不細緻額頭、眼皮也都是細紋我覺得這塊粉餅粉質確實滿細緻的但搭配他自己的粉撲，我覺得珠光無法均勻鋪展整張臉像是一塊卡到油脂結塊的粉餅因為實在太醜了，讓我夢回之前他10年前的粉餅粉質乾是乾，但妝效是像打亮的光澤感我覺得拿來當一般粉餅完全打妹原本以為蜜粉不錯，想試試粉餅但用了卻讓我滿頭問號,時候覺得粉質細膩而且又有服貼輕薄的感覺重點是我先買了蜜粉覺得不錯用所以才買這款粉餅但我不知道是不是我買的有問題雖然在摸試用品的時候我就知道他是帶有珠光感的粉餅但在架上的時候覺真的覺得不錯我這幾天還在逛不同的藥妝店時反覆摸過反正我只能說我踩雷了啦我覺得他很像以前出的一塊保濕粉餅也是有珠光的感覺
這塊是最近我天天上妝時使用的粉餅我大多是不買開架的粉餅使用但這塊我被那「修片」「零瑕疵」字眼吸引寶雅開架又賣得好便宜抱著買來玩看看的心態，就下手了～購入色號120 Light Beige 自然色共有3個顏色，前面兩色我覺得太過白試了部份在臉上覺得我無法駕馭選自然色比較安全粉盒下方可收納一塊圓形粉撲盒內附的是黑色讓整體色感更加一致粉撲不會難用，抓粉力也沒問題但我本身不喜歡太薄的粉撲若是放入自己常用的粉撲盒子又蓋不上只能退而求其次回頭使用盒內這塊黑色的粉撲了終於知道它零瑕疵的秘密！！就是它的粉不是細細的那種，是帶點潤澤的～但它實體又是粉餅這黑科技真讓我折服～粉體遮蓋力很好，照片裡我就只是用手指摸一下粉餅表面我的指紋大多都被磨平了上臉後整臉粉餅推勻，妝感是完整的，妝感卻也不顯厚重持妝力是有的喔??????????若您追求細緻無瑕的美肌妝效這款可能就不適合妳若追求的是遮蓋力不錯且持妝力好的粉餅那這塊妳可以列入考慮開架都有試用可去體驗看看再決定不過價格是便宜的說真的也是不用太考慮啦??,粉餅我大多是不買開架的粉餅使用但這塊我被那「修片」「零瑕疵」字眼吸引寶雅開架又賣得好便宜抱著買來玩看看的心態
"1028 Oil Block! 超吸油蜜粉餅(升級版)上一篇分享""1028 超吸油蜜粉餅""""這篇來分享""""1028 Oil Block! 超吸油蜜粉餅(升級版)""""目前我已使用3代了前兩代感覺很好  所以也來試試新的這款這次一樣選擇控油 透明款這次透明款外包裝是灰色的這次的升級版粉餅盒高度比較高之前""""1028 超吸油蜜粉餅""""比較扁 容量為4.6G新的升級款 除了高度變高  整個粉餅也比之前的大一些  容量有5G內部造型基本沒有改變粉撲更厚實  軟綿質地上來說粉一樣很細膩但是雖然這款是透明款但透明度不如""""1028 超吸油蜜粉餅""""這款其實蠻白的我覺得有點白的嚇人但可以換個方式減少粉的使用量非常少許的粉就又同樣的效果或許這是比較大的好處用量少  哈哈控油效果一樣是沒話說""","這款這次一樣選擇控油 透明款這次透明款外包裝是灰色的這次的升級版粉餅盒高度比較高之前""""1028 超吸油蜜粉餅""""比較扁 容量為4.6G新的升級款 除了高度變高  整個粉餅也比之前的大一些  容量有5G內部造型基本沒有改變粉撲更厚實  軟綿質地上來說粉一樣很細膩但是雖然這款是透明款但透明度不如""""1028 超吸油蜜粉餅""""這款其實蠻白的我覺得有點白的嚇人但可以換個方式減少粉的使用量非常少許的粉就又同樣的效果或許這是比較大的好處用量少  哈哈控油效果一樣是沒話說"""
有保濕效果的細緻蜜粉餅。色號：透明質地：白色帶有極細緞光，亮粉不到肉眼可見的程度；粉體以開架來說算很細，蜜粉餅壓得很實以這個價格來說，我覺得已經做得非常好了控油程度：超弱。我試著按在出油的鼻子上，沒什麼效果...(但人家就是保濕型蜜粉，幹嘛要求這個)透明款妝效：妝感很低，上臉幾乎不會改變顏色也沒有遮瑕力，很快就能融入皮膚；帶有淡淡的光澤，也因為這樣會顯得皮膚紋理稍微明顯一點；修飾毛孔的能力有點弱，想要有充分的毛孔柔焦效果還是需要其他產品。(下圖我是擦在虎口右邊，隱約可以看到光澤)我覺得它很適合拿來當眼下定妝，不會太乾燥、不會改變顏色，同時也能好好發揮持妝的作用我的眼周是乾到用excel遮瑕盤不到半天就脫妝的那種，使用它真的有改善這個問題，還多了一點點膨潤感，蠻喜歡的但我就不會拿它來定妝T字部位，頂多兩頰薄薄拍一層而已乾肌拿來全臉定妝應該沒問題這個品項蠻新的，剛好我缺保濕型蜜粉，就趁著最近有優惠就入手順便介紹一下內容物有一塊絨毛粉撲、一個很軟的塑膠墊片，跟一面小圓鏡粉撲的毛短短的，抓粉力普通，外出使用還可以接受，但在家裡我會選擇用自己習慣的刷具結論：帶有光澤的保濕蜜粉，適合乾肌全臉或是一般人眼下定妝MIT產品可以給它一個機會,細緻蜜粉餅，效果的細緻蜜粉餅。
??愛用的底妝都是比較水光偏偏??手邊的水光型底妝針對兩頰毛孔修飾要比較有感的較少 為了修飾毛孔得買相關產品或乾脆買不要這麼光澤然後毛孔修飾力比較好的底妝 剛好1028這款超保濕蜜粉餅說能毛孔修飾加上價格很便宜也忘了要臉上試用就買了?? 以前兩頰毛孔比較細不需要效果怎樣好的底妝跟特別買產品修飾 老了唄?? 超保濕蜜粉餅有三款可以選擇 柔膚 嫩紫 透明 ??入手透明款寶雅截圖照隔了一層塑膠片不會讓用過的粉撲直接碰到粉餅看似霧面其實是帶有珠光質地 沒味道絨毛粉撲實際用過??還是勸大家不要買?? 請看 素顏使用 男友和貓ㄧ致都認為是UNT的比較好早上就化底妝了但下午才購買的 所以帶妝了五小時才用的覺得不夠好又再拍了UNT的如果有毛孔修飾力比較好的底妝可以跟??說欸其它瑕疵的遮瑕力不用說很好沒關係貓比較care毛孔,底妝都是比較水光偏偏手邊的水光型底妝針對兩頰毛孔修飾要比較有感的較少 為了修飾毛孔得買相關產品或乾脆買不要這麼光澤然後毛孔修飾力比較好的底妝 剛好1028這款超保濕蜜粉餅說能毛孔修飾加上價格很便宜也忘了要臉上試用就買了 以前兩頰毛孔比較細不需要效果怎樣好的底妝跟特別買產品修飾 老了唄 超保濕蜜粉餅有三款可以選擇 柔膚 嫩紫 透明 入手透明款寶雅截圖照隔了一層塑膠片不會讓用過的粉撲直接碰到粉餅看似霧面其實是帶有珠光質地 沒味道絨毛粉撲實際用過還是勸大家不要買 請看 素顏使用 男友和貓ㄧ致都認為是UNT的比較好早上就化底妝了但下午才購買的 所以帶妝了五小時才用的覺得不夠好又再拍了UNT的如果有毛孔修飾力比較好的底妝可以跟說欸其它瑕疵的遮瑕力不用說很好沒關係貓比較care毛孔
我是混合肌 肌膚偏白1028這款蜜粉餅我買的是嫩紫色號外觀很小巧精緻 可愛 全紫包裝打開裡面有個小鏡子 粉質很細緻它附的粉撲非常柔軟好用 我自己很喜歡主要是這個嫩紫色屬於霧面的 可以稍微校正一下膚色 控油力度也很好 雖然是5克包裝但是可以用很久 CP值很高 攜帶也方便修飾膚色 去蠟黃效果很好微微的小缺點是 如果我底妝沒弄好直接補蜜粉的話會有點結塊 所以要先把油分底妝整理乾淨在用它來補妝會比較自然 漂亮很值得購買的一款商品 推薦給混合肌 油性肌膚 （它的粉撲真的很可以）謝謝你們耐心看完 一起變美喔新年快樂??,我是混合肌 肌膚偏白1028這款蜜粉餅我買的是嫩紫色號外觀很小巧精緻 可愛 全紫包裝打開裡面有個小鏡子 粉質很細緻它附的粉撲非常柔軟好用 我自己很喜歡主要是這個嫩紫色屬於霧面的 可以稍微校正一下膚色 控油力度也很好 雖然是5克包裝但是可以用很久 CP值很高 攜帶也方便修飾膚色 去蠟黃效果很好微微的小缺點是 如果我底妝沒弄好直接補蜜粉的話會有點結塊 所以要先把油分底妝整理乾淨在用它來補妝會比較自然 漂亮很值得購買的一款商品 推薦給混合肌 油性肌膚 （它的粉撲真的很可以）謝謝你們耐心看完 一起變美喔新年快樂??
